Transaction Description,Amount Debit,Amount Credit,Balance,Category
Shell Station - Atlanta GA,41.0,0.0,959.0,Gas
Discover Credit Card Payment,0.0,190.0,1110.0,Credit Card
Mobile Phone - Boost Mobile,0.0,65.0,1065.0,Mobile Phone
Gym Membership - CrossFit,0.0,35.0,1035.0,Misc
Spotify Monthly,0.0,14.99,1014.99,Subscription
Restaurant - Noodles & Company,0.0,40.0,1040.0,Restaurant
Etsy - Home Goods,35.0,0.0,965.0,Misc
Dropbox Pro,0.0,14.99,1014.99,Subscription
Circle K Gas - Dallas TX,35.0,0.0,965.0,Gas
Shell Service Station 2398,45.0,0.0,955.0,Gas
Whole Foods Los Angeles CA,85.0,0.0,915.0,Groceries
Apple Pay - Credit Card,0.0,220.0,1120.0,Credit Card
Central Auto Payment,0.0,1230.0,2230.0,Rent - Mortgage
Olive Garden,0.0,50.0,1050.0,Restaurant
Slack Premium,0.0,14.99,1014.99,Subscription
Walmart Gas - New York NY,40.0,0.0,960.0,Gas
Tim Hortons Toronto ON,10.5,0.0,989.5,Coffee
Citi Credit Card Monthly,0.0,200.0,1100.0,Credit Card
Verizon Pay,0.0,89.99,1089.99,Mobile Phone
Riverside Auto Payment,0.0,1180.0,2180.0,Rent - Mortgage
Publix Tampa FL,55.0,0.0,945.0,Groceries
Central Water,0.0,47.0,1047.0,Utilities Water
Gas Station 888 - Denver CO,44.0,0.0,956.0,Gas
Xcel Energy,0.0,65.0,1065.0,Utilities Electric
West End Auto Payment,0.0,1210.0,2210.0,Rent - Mortgage
Hulu Subscription,0.0,14.99,1014.99,Subscription
Chick-fil-A Atlanta GA,14.99,0.0,985.01,Coffee
7-Eleven Gas Fill-up - Chicago IL,32.0,0.0,968.0,Gas
Parkview Auto Payment,0.0,1250.0,2250.0,Rent - Mortgage
Restaurant - Chipotle,0.0,38.0,1038.0,Restaurant
Total Gas Station - San Diego CA,39.5,0.0,960.5,Gas
Google One Storage,0.0,19.99,1019.99,Subscription
Shell Miami FL,36.0,0.0,964.0,Gas
Shell Gas Station Houston TX,42.0,0.0,958.0,Gas
Microsoft 365,0.0,29.99,1029.99,Subscription
Starbucks Seattle WA,25.0,0.0,975.0,Coffee
Wells Fargo Credit Card,0.0,210.0,1110.0,Credit Card
Starbucks Bellevue WA,18.5,0.0,981.5,Coffee
Northside Auto Payment,0.0,1220.0,2220.0,Rent - Mortgage
LendKey Auto Payment,0.0,230.0,1230.0,Student Loan
Pret A Manger Chicago IL,16.0,0.0,984.0,Coffee
Shell Portland OR,43.0,0.0,957.0,Gas
Uber Eats Delivery,0.0,18.0,1018.0,Misc
Utilities Water - Metro Water,0.0,50.0,1050.0,Utilities Water
Sallie Mae,0.0,280.0,1280.0,Rent - Mortgage
Costco Vancouver BC,140.0,0.0,860.0,Groceries
Farmers Market Portland OR,45.0,0.0,955.0,Groceries
Aldi Austin TX,60.0,0.0,940.0,Groceries
Horizon Living Auto Payment,0.0,1150.0,2150.0,Rent - Mortgage
Amazon Prime Video,0.0,14.99,1014.99,Subscription
Netflix Subscription,0.0,15.99,1015.99,Subscription
South Central Water,0.0,53.0,1053.0,Utilities Water
Riverside Water,0.0,44.0,1044.0,Utilities Water
